example of how to read this (using the first line): 12.67% of +1/+1 counter tagged decks have the selesnya tag

~~~~~+1/+1 Counters~~~~~
    Temur (GUR): 1.1%
    Gruul (RG): 1.1%
~~~~~Delver~~~~~
    Dimir (UB): 23.08%
    Sultai (BGU): 19.23%
    Izzet (UR): 14.1%
    Esper (WUB): 14.1%
    Golgari (BG): 12.82%
    Jeskai (URW): 11.54%
    Grixis (UBR): 10.26%
    Mono Black: 7.69%
    Temur (GUR): 7.69%
    Jund (BRG): 6.41%
    Azorius (WU) : 6.41%
    Boros (RW): 6.41%
    Mono Blue: 6.41%
    Five Color (WUBRG): 6.41%
    Rakdos (BR): 6.41%
    Simic (GU): 6.41%
    Abzan (WBG): 6.41%
    Aggression (WBRG): 5.13%
    Altruism (WURG): 5.13%
    Growth (WUBG): 5.13%
    Chaos (UBRG): 5.13%
    Artifice (WUBR): 5.13%
    Mono Red: 5.13%
    Mardu (RWB): 5.13%
    Orzhov (WB): 5.13%
    Naya (RGW): 5.13%
    Gruul (RG): 5.13%
    Bant (GWU): 5.13%
    Selesnya (GW): 5.13%
    Mono Green: 3.85%
    Mono White: 3.85%
~~~~~Eggs~~~~~
    Naya (RGW): 34.69%
    Boros (RW): 7.19%
    Mono White: 6.25%
    Izzet (UR): 5.94%
    Artifice (WUBR): 5.31%
    Mono Blue: 4.69%
    Rakdos (BR): 4.69%
    Golgari (BG): 4.69%
    Azorius (WU) : 4.38%
    Five Color (WUBRG): 4.06%
    Jund (BRG): 3.44%
    Mardu (RWB): 3.12%
    Esper (WUB): 3.12%
    Gruul (RG): 3.12%
    Dimir (UB): 2.81%
    Orzhov (WB): 2.81%
    Jeskai (URW): 2.19%
    Bant (GWU): 2.19%
    Mono Green: 1.88%
    Chaos (UBRG): 1.88%
    Mono Red: 1.88%
    Grixis (UBR): 1.88%
    Aggression (WBRG): 1.56%
    Altruism (WURG): 1.56%
    Mono Black: 1.56%
    Abzan (WBG): 1.56%
    Selesnya (GW): 1.56%
    Growth (WUBG): 1.25%
    Simic (GU): 1.25%
    Temur (GUR): 1.25%
    Sultai (BGU): 1.25%
~~~~~Formula X-1~~~~~
    Sultai (BGU): 11.88%
    Gruul (RG): 9.38%
    Naya (RGW): 7.5%
    Jund (BRG): 6.88%
    Mono Green: 6.88%
    Rakdos (BR): 6.88%
    Jeskai (URW): 6.88%
    Esper (WUB): 6.88%
    Dimir (UB): 6.25%
    Mono Black: 6.25%
    Izzet (UR): 6.25%
    Five Color (WUBRG): 6.25%
    Temur (GUR): 6.25%
    Orzhov (WB): 6.25%
    Boros (RW): 5.62%
    Grixis (UBR): 5.62%
    Selesnya (GW): 5.62%
    Altruism (WURG): 5.0%
    Golgari (BG): 5.0%
    Abzan (WBG): 5.0%
    Simic (GU): 4.38%
    Mono White: 4.38%
    Aggression (WBRG): 3.75%
    Azorius (WU) : 3.75%
    Mono Red: 3.75%
    Mardu (RWB): 3.75%
    Bant (GWU): 3.75%
    Growth (WUBG): 3.12%
    Chaos (UBRG): 3.12%
    Mono Blue: 3.12%
    Artifice (WUBR): 3.12%
~~~~~Group Slug~~~~~
    Rakdos (BR): 17.29%
    Mono Red: 9.62%
    Mono Black: 8.2%
    Grixis (UBR): 8.12%
    Jund (BRG): 7.22%
    Mardu (RWB): 5.79%
    Dimir (UB): 5.41%
    Gruul (RG): 4.89%
    Golgari (BG): 4.66%
    Orzhov (WB): 4.59%
    Five Color (WUBRG): 2.63%
    Izzet (UR): 2.56%
    Esper (WUB): 2.41%
    Naya (RGW): 2.26%
    Boros (RW): 2.11%
    Jeskai (URW): 1.95%
    Temur (GUR): 1.43%
    Azorius (WU) : 1.2%
    Altruism (WURG): 1.05%
    Sultai (BGU): 1.05%
    Aggression (WBRG): 0.98%
    Mono White: 0.98%
    Abzan (WBG): 0.9%
    Mono Blue: 0.83%
    Bant (GWU): 0.83%
    Chaos (UBRG): 0.68%
    Mono Green: 0.6%
    Growth (WUBG): 0.6%
    Artifice (WUBR): 0.53%
    Simic (GU): 0.53%
    Selesnya (GW): 0.53%
~~~~~Historic~~~~~
    Five Color (WUBRG): 19.0%
    Mardu (RWB): 10.28%
    Azorius (WU) : 9.35%
    Izzet (UR): 9.03%
    Boros (RW): 7.79%
    Abzan (WBG): 6.54%
    Esper (WUB): 5.92%
    Mono White: 5.61%
    Mono Green: 5.3%
    Orzhov (WB): 4.67%
    Selesnya (GW): 4.36%
    Mono Blue: 4.05%
    Artifice (WUBR): 3.74%
    Dimir (UB): 3.12%
    Mono Red: 2.8%
    Altruism (WURG): 2.49%
    Golgari (BG): 2.49%
    Bant (GWU): 2.49%
    Growth (WUBG): 2.18%
    Jeskai (URW): 2.18%
    Gruul (RG): 2.18%
    Sultai (BGU): 2.18%
    Aggression (WBRG): 1.87%
    Simic (GU): 1.87%
    Jund (BRG): 1.56%
    Mono Black: 1.56%
    Grixis (UBR): 1.56%
    Temur (GUR): 1.56%
    Naya (RGW): 1.56%
    Chaos (UBRG): 1.25%
    Rakdos (BR): 1.25%
~~~~~Land Destruction~~~~~
    Jund (BRG): 13.53%
    Gruul (RG): 9.59%
    Mono Red: 9.25%
    Mono Green: 6.51%
    Five Color (WUBRG): 6.16%
    Boros (RW): 5.48%
    Mardu (RWB): 5.48%
    Mono White: 5.48%
    Naya (RGW): 5.48%
    Golgari (BG): 4.11%
    Jeskai (URW): 3.77%
    Izzet (UR): 3.42%
    Rakdos (BR): 3.42%
    Azorius (WU) : 3.25%
    Esper (WUB): 2.91%
    Selesnya (GW): 2.91%
    Dimir (UB): 2.57%
    Mono Black: 2.4%
    Grixis (UBR): 2.4%
    Sultai (BGU): 2.4%
    Altruism (WURG): 2.05%
    Bant (GWU): 2.05%
    Simic (GU): 1.88%
    Abzan (WBG): 1.88%
    Aggression (WBRG): 1.54%
    Temur (GUR): 1.37%
    Orzhov (WB): 1.37%
    Artifice (WUBR): 1.2%
    Mono Blue: 1.03%
    Growth (WUBG): 0.86%
    Chaos (UBRG): 0.86%
~~~~~Maverick~~~~~
    Abzan (WBG): 17.86%
    Naya (RGW): 17.86%
    Growth (WUBG): 16.07%
    Bant (GWU): 16.07%
    Altruism (WURG): 12.5%
    Mono Green: 12.5%
    Mardu (RWB): 12.5%
    Izzet (UR): 12.5%
    Five Color (WUBRG): 12.5%
    Esper (WUB): 12.5%
    Dimir (UB): 10.71%
    Rakdos (BR): 10.71%
    Golgari (BG): 10.71%
    Orzhov (WB): 10.71%
    Mono White: 10.71%
    Gruul (RG): 10.71%
    Selesnya (GW): 10.71%
    Sultai (BGU): 10.71%
    Chaos (UBRG): 8.93%
    Azorius (WU) : 8.93%
    Mono Blue: 8.93%
    Jeskai (URW): 8.93%
    Simic (GU): 8.93%
    Aggression (WBRG): 7.14%
    Jund (BRG): 7.14%
    Mono Black: 7.14%
    Boros (RW): 7.14%
    Artifice (WUBR): 7.14%
    Grixis (UBR): 7.14%
    Temur (GUR): 7.14%
    Mono Red: 5.36%
~~~~~Miracles~~~~~
    Esper (WUB): 25.0%
    Mono Blue: 18.06%
    Azorius (WU) : 15.28%
    Izzet (UR): 12.5%
    Five Color (WUBRG): 11.11%
    Mono Red: 9.72%
    Grixis (UBR): 9.72%
    Selesnya (GW): 9.72%
    Dimir (UB): 8.33%
    Rakdos (BR): 8.33%
    Jeskai (URW): 8.33%
    Simic (GU): 8.33%
    Temur (GUR): 8.33%
    Naya (RGW): 8.33%
    Altruism (WURG): 6.94%
    Growth (WUBG): 6.94%
    Mono Black: 6.94%
    Mardu (RWB): 6.94%
    Golgari (BG): 6.94%
    Orzhov (WB): 6.94%
    Mono White: 6.94%
    Bant (GWU): 6.94%
    Aggression (WBRG): 5.56%
    Jund (BRG): 5.56%
    Mono Green: 5.56%
    Chaos (UBRG): 5.56%
    Boros (RW): 5.56%
    Artifice (WUBR): 5.56%
    Abzan (WBG): 5.56%
    Gruul (RG): 5.56%
    Sultai (BGU): 5.56%
~~~~~Modified~~~~~
    Gruul (RG): 18.06%
    Bant (GWU): 12.04%
    Mono Green: 10.19%
    Selesnya (GW): 7.18%
    Boros (RW): 6.48%
    Abzan (WBG): 5.32%
    Golgari (BG): 4.86%
    Mardu (RWB): 4.63%
    Growth (WUBG): 3.7%
    Azorius (WU) : 3.7%
    Naya (RGW): 3.24%
    Mono Red: 3.01%
    Simic (GU): 3.01%
    Orzhov (WB): 3.01%
    Mono White: 3.01%
    Grixis (UBR): 2.78%
    Dimir (UB): 2.08%
    Mono Blue: 2.08%
    Rakdos (BR): 2.08%
    Esper (WUB): 2.08%
    Temur (GUR): 2.08%
    Sultai (BGU): 1.85%
    Jund (BRG): 1.62%
    Altruism (WURG): 1.39%
    Mono Black: 1.39%
    Five Color (WUBRG): 1.39%
    Jeskai (URW): 1.39%
    Aggression (WBRG): 1.16%
    Artifice (WUBR): 1.16%
    Izzet (UR): 0.93%
    Chaos (UBRG): 0.69%
~~~~~Snow~~~~~
    Sultai (BGU): 23.64%
    Dimir (UB): 10.33%
    Mono Black: 9.24%
    Mono Blue: 7.07%
    Simic (GU): 7.07%
    Mono White: 7.07%
    Mono Red: 6.52%
    Gruul (RG): 5.71%
    Mono Green: 4.89%
    Five Color (WUBRG): 4.35%
    Rakdos (BR): 4.08%
    Esper (WUB): 3.8%
    Selesnya (GW): 3.26%
    Boros (RW): 2.99%
    Bant (GWU): 2.45%
    Jund (BRG): 2.17%
    Azorius (WU) : 2.17%
    Izzet (UR): 2.17%
    Grixis (UBR): 2.17%
    Orzhov (WB): 2.17%
    Golgari (BG): 1.9%
    Naya (RGW): 1.9%
    Altruism (WURG): 1.63%
    Jeskai (URW): 1.63%
    Temur (GUR): 1.63%
    Growth (WUBG): 1.36%
    Mardu (RWB): 1.36%
    Abzan (WBG): 1.36%
    Aggression (WBRG): 1.09%
    Chaos (UBRG): 1.09%
    Artifice (WUBR): 1.09%
~~~~~Stoneblade~~~~~
    Mono White: 25.47%
    Boros (RW): 18.87%
    Bant (GWU): 16.04%
    Mardu (RWB): 13.21%
    Azorius (WU) : 12.26%
    Jeskai (URW): 11.32%
    Naya (RGW): 10.38%
    Selesnya (GW): 9.43%
    Esper (WUB): 7.55%
    Orzhov (WB): 7.55%
    Simic (GU): 6.6%
    Altruism (WURG): 4.72%
    Growth (WUBG): 4.72%
    Five Color (WUBRG): 4.72%
    Golgari (BG): 4.72%
    Aggression (WBRG): 3.77%
    Jund (BRG): 3.77%
    Dimir (UB): 3.77%
    Mono Green: 3.77%
    Mono Black: 3.77%
    Chaos (UBRG): 3.77%
    Mono Blue: 3.77%
    Artifice (WUBR): 3.77%
    Mono Red: 3.77%
    Izzet (UR): 3.77%
    Rakdos (BR): 3.77%
    Grixis (UBR): 3.77%
    Temur (GUR): 3.77%
    Abzan (WBG): 3.77%
    Gruul (RG): 3.77%
    Sultai (BGU): 3.77%
~~~~~Tron~~~~~
    Boros (RW): 9.52%
    Mono Blue: 8.84%
    Naya (RGW): 8.16%
    Mono Red: 6.12%
    Five Color (WUBRG): 6.12%
    Mono White: 6.12%
    Mono Green: 5.44%
    Grixis (UBR): 5.44%
    Golgari (BG): 5.44%
    Abzan (WBG): 5.44%
    Izzet (UR): 4.76%
    Rakdos (BR): 4.76%
    Esper (WUB): 4.76%
    Bant (GWU): 4.76%
    Dimir (UB): 4.08%
    Artifice (WUBR): 4.08%
    Jeskai (URW): 4.08%
    Simic (GU): 4.08%
    Gruul (RG): 4.08%
    Selesnya (GW): 4.08%
    Aggression (WBRG): 3.4%
    Mono Black: 3.4%
    Chaos (UBRG): 3.4%
    Azorius (WU) : 3.4%
    Mardu (RWB): 3.4%
    Temur (GUR): 3.4%
    Orzhov (WB): 3.4%
    Sultai (BGU): 3.4%
    Altruism (WURG): 2.72%
    Jund (BRG): 2.72%
    Growth (WUBG): 2.72%
~~~~~Vehicles~~~~~
    Azorius (WU) : 36.88%
    Orzhov (WB): 11.45%
    Boros (RW): 9.54%
    Esper (WUB): 6.52%
    Jeskai (URW): 6.2%
    Artifice (WUBR): 4.45%
    Mono Black: 3.5%
    Mono Red: 3.18%
    Mono Blue: 3.02%
    Mono Green: 1.75%
    Mono White: 1.75%
    Sultai (BGU): 1.43%
    Selesnya (GW): 1.27%
    Izzet (UR): 1.11%
    Altruism (WURG): 0.95%
    Dimir (UB): 0.95%
    Mardu (RWB): 0.95%
    Grixis (UBR): 0.95%
    Bant (GWU): 0.95%
    Jund (BRG): 0.79%
    Growth (WUBG): 0.79%
    Rakdos (BR): 0.79%
    Abzan (WBG): 0.79%
    Naya (RGW): 0.79%
    Aggression (WBRG): 0.64%
    Chaos (UBRG): 0.64%
    Five Color (WUBRG): 0.64%
    Simic (GU): 0.64%
    Golgari (BG): 0.64%
    Temur (GUR): 0.64%
    Gruul (RG): 0.64%
~~~~~Zoo~~~~~
    Naya (RGW): 22.61%
    Gruul (RG): 12.66%
    Simic (GU): 12.24%
    Mono Green: 9.75%
    Five Color (WUBRG): 6.22%
    Golgari (BG): 5.39%
    Temur (GUR): 4.77%
    Selesnya (GW): 4.77%
    Bant (GWU): 3.94%
    Mardu (RWB): 3.32%
    Sultai (BGU): 3.32%
    Esper (WUB): 2.7%
    Mono Blue: 2.49%
    Mono Red: 2.49%
    Aggression (WBRG): 2.28%
    Dimir (UB): 2.28%
    Boros (RW): 2.28%
    Mono White: 2.28%
    Mono Black: 2.07%
    Orzhov (WB): 2.07%
    Rakdos (BR): 1.87%
    Abzan (WBG): 1.87%
    Jund (BRG): 1.66%
    Growth (WUBG): 1.66%
    Azorius (WU) : 1.66%
    Izzet (UR): 1.66%
    Altruism (WURG): 1.45%
    Jeskai (URW): 1.45%
    Chaos (UBRG): 1.24%
    Artifice (WUBR): 1.24%
    Grixis (UBR): 1.04%
~~~~~Modular~~~~~
    Boros (RW): 23.58%
    Naya (RGW): 9.43%
    Izzet (UR): 8.49%
    Grixis (UBR): 8.49%
    Selesnya (GW): 6.6%
    Sultai (BGU): 6.6%
    Dimir (UB): 5.66%
    Azorius (WU) : 5.66%
    Orzhov (WB): 5.66%
    Growth (WUBG): 4.72%
    Rakdos (BR): 4.72%
    Esper (WUB): 4.72%
    Gruul (RG): 4.72%
    Mardu (RWB): 3.77%
    Jeskai (URW): 3.77%
    Simic (GU): 3.77%
    Temur (GUR): 3.77%
    Bant (GWU): 3.77%
    Aggression (WBRG): 2.83%
    Altruism (WURG): 2.83%
    Mono Green: 2.83%
    Mono Black: 2.83%
    Artifice (WUBR): 2.83%
    Mono Red: 2.83%
    Five Color (WUBRG): 2.83%
    Golgari (BG): 2.83%
    Mono White: 2.83%
    Abzan (WBG): 2.83%
    Jund (BRG): 1.89%
    Chaos (UBRG): 1.89%
    Mono Blue: 1.89%
~~~~~Turbo~~~~~
    Grixis (UBR): 9.06%
    Five Color (WUBRG): 7.1%
    Dimir (UB): 6.39%
    Mardu (RWB): 6.22%
    Jund (BRG): 6.04%
    Mono Black: 5.15%
    Rakdos (BR): 5.15%
    Esper (WUB): 4.97%
    Artifice (WUBR): 4.62%
    Simic (GU): 3.91%
    Golgari (BG): 3.73%
    Mono Red: 3.55%
    Sultai (BGU): 3.2%
    Mono Green: 3.02%
    Mono Blue: 2.84%
    Chaos (UBRG): 2.66%
    Izzet (UR): 2.49%
    Orzhov (WB): 2.49%
    Naya (RGW): 2.13%
    Temur (GUR): 1.95%
    Boros (RW): 1.78%
    Jeskai (URW): 1.78%
    Gruul (RG): 1.6%
    Azorius (WU) : 1.42%
    Growth (WUBG): 1.24%
    Mono White: 1.24%
    Bant (GWU): 1.24%
    Aggression (WBRG): 1.07%
    Abzan (WBG): 1.07%
    Selesnya (GW): 0.89%
    Altruism (WURG): 0.71%
