~~~~~+1/+1 Counters~~~~~
    Rakdos (BR): 9
    Abzan (WBG): 9
    Jund (BRG): 8
    Growth (WUBG): 8
    Azorius (WU) : 8
    Izzet (UR): 8
    Altruism (WURG): 7
    Jeskai (URW): 7
    Chaos (UBRG): 6
    Artifice (WUBR): 6
    Grixis (UBR): 5
~~~~~Modular~~~~~
    Boros (RW): 25
    Naya (RGW): 10
    Izzet (UR): 9
    Grixis (UBR): 9
    Selesnya (GW): 7
    Sultai (BGU): 7
    Dimir (UB): 6
    Azorius (WU) : 6
    Orzhov (WB): 6
    Growth (WUBG): 5
    Rakdos (BR): 5
    Esper (WUB): 5
    Gruul (RG): 5
    Mardu (RWB): 4
    Jeskai (URW): 4
    Simic (GU): 4
    Temur (GUR): 4
    Bant (GWU): 4
    Aggression (WBRG): 3
    Altruism (WURG): 3
    Mono Green: 3
    Mono Black: 3
    Artifice (WUBR): 3
    Mono Red: 3
    Five Color (WUBRG): 3
    Golgari (BG): 3
    Mono White: 3
    Abzan (WBG): 3
    Jund (BRG): 2
    Chaos (UBRG): 2
    Mono Blue: 2
~~~~~Turbo~~~~~
    Grixis (UBR): 51
    Five Color (WUBRG): 40
    Dimir (UB): 36
    Mardu (RWB): 35
    Jund (BRG): 34
    Mono Black: 29
    Rakdos (BR): 29
    Esper (WUB): 28
    Artifice (WUBR): 26
    Simic (GU): 22
    Golgari (BG): 21
    Mono Red: 20
    Sultai (BGU): 18
    Mono Green: 17
    Mono Blue: 16
    Chaos (UBRG): 15
    Izzet (UR): 14
    Orzhov (WB): 14
    Naya (RGW): 12
    Temur (GUR): 11
    Boros (RW): 10
    Jeskai (URW): 10
    Gruul (RG): 9
    Azorius (WU) : 8
    Growth (WUBG): 7
    Mono White: 7
    Bant (GWU): 7
    Aggression (WBRG): 6
    Abzan (WBG): 6
    Selesnya (GW): 5
    Altruism (WURG): 4
